0.556	-0.334	0.222	0.944	0.778	-0.278	-0.278	-0.612	1.000	-0.222	
-0.112	0.444	-0.834	1.000	-0.056	-0.056	-0.390	-0.778	0.222	-0.722	
-0.834	-0.112	-0.278	0.666	0.666	0.332	-0.056	0.944	0.722	0.166	
-0.278	-0.444	0.500	0.500	0.166	-0.222	0.778	0.556	-0.166	-0.444	
0.000	0.944	0.944	0.610	0.222	-0.778	-1.000	0.278	0.444	0.944	
0.000	0.000	-0.334	-0.722	0.278	0.056	-0.666	-0.500	-0.944	-0.222	
0.222	-0.112	-0.500	0.500	0.278	-0.444	-0.278	-0.722	0.222	-0.890	
0.778	0.390	-0.610	-0.832	0.446	0.612	0.168	-0.888	0.890	-0.610	
1.000	0.000	-0.222	-0.944	-0.778	0.778	-0.278	-0.500	0.610	0.166	
-0.166	-0.388	0.890	-0.944	0.612	-0.444	-0.666	0.444	-0.166	-0.500	
0.112	-0.610	-0.444	-0.888	0.056	-0.166	0.944	0.334	0.500	0.444	
0.946	-0.888	0.668	-0.388	-0.610	0.500	-0.110	0.056	-0.444	-0.888	
0.000	-0.444	0.500	0.278	-0.612	0.778	0.944	0.444	0.888	0.444	
-0.888	0.056	-0.166	0.944	0.334	0.500	0.000	0.444	-0.444	0.500	
-0.444	-0.666	0.444	-0.166	0.000	-0.500	-0.056	-0.944	-0.500	0.444	
0.890	0.000	-0.610	-0.444	-0.944	-0.500	0.612	-0.944	-0.444	0.778	
-0.778	0.612	0.778	0.278	0.722	-0.166	0.278	0.778	-0.778	0.000	
0.612	0.778	0.278	0.722	-0.166	0.278	0.778	-0.778	0.000	0.668	
0.110	-0.390	0.054	-0.834	-0.390	0.110	0.554	-0.668	-0.668	0.444	
-0.834	-0.390	0.722	-0.834	-0.334	0.110	0.888	0.888	-0.444	0.444	
-0.834	0.278	0.722	-0.778	-0.334	0.444	0.444	-0.888	-0.444	0.778	
-0.500	-0.056	0.444	0.888	-0.334	-0.334	0.334	0.778	-0.778	0.944	
-1.000	-0.500	-0.056	0.722	0.722	-0.610	-0.166	0.278	-0.944	0.722	
0.778	-0.778	0.000	0.000	0.668	-0.888	-0.444	0.334	-0.722	-0.888	
0.110	0.888	0.888	-0.444	0.000	0.444	-0.778	0.166	0.888	-0.334	
